lambda,power
0.3654, 1.4224
0.398, 2.876
0.383, 2.1379
0.4073, 3.6818
0.4122, 4.4031
0.4153, 5.0568
0.4177, 5.7782
0.4271, 6.8094
0.4353, 7.418
0.4451, 7.9306
0.4573, 8.3138
0.4757, 8.9561
0.4921, 9.2884
0.523, 9.7614
0.5368, 9.9417
0.5655, 10.0373
0.6027, 9.8622
0.5893, 9.9694
0.6145, 9.7381
0.636, 9.3547
0.6519, 9.0446
0.6677, 8.7458
0.6794, 8.5484
0.6918, 8.3003
0.7067, 8.0128
0.721, 7.7929
0.7485, 7.3643
0.7761, 6.9695
0.8003, 6.603
0.8329, 6.1913
0.853, 5.9657
0.8916, 5.5483
0.9367, 5.0801
0.9914, 4.5668
1.0283, 4.2339
1.0569, 4.0195
1.0981, 3.7035
1.1309, 3.4778
1.2109, 2.9867
1.2622, 2.6876
1.3389, 2.2755
1.4054, 1.9592
1.456, 1.7332
1.5885, 1.2362
1.7261, 0.8911
1.8056, 0.7607
1.8766, 0.6474
1.9578, 0.5621
2.0407, 0.488
2.1371, 0.3913
2.2368, 0.2889
2.4255, 0.1519
2.5279, 0.0664
